T_level,user_id,input_path,output_path,status,error,input_words,output_words,model
T4,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_043ea160.txt,ok,,2502,302,gpt-4o-mini
T4,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_04d29f9c.txt,ok,,1887,342,gpt-4o-mini
T4,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T4/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T4/user_04d8419e.txt,ok,,1979,257,gpt-4o-mini
T5,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0168255c.txt,ok,,2369,342,gpt-4o-mini
T5,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02016939.txt,ok,,2991,372,gpt-4o-mini
T5,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_0285dee3.txt,ok,,1425,308,gpt-4o-mini
T5,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02d03e8a.txt,ok,,2518,323,gpt-4o-mini
T5,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02d8a1f8.txt,ok,,1839,303,gpt-4o-mini
T5,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_02fecea2.txt,ok,,1732,296,gpt-4o-mini
T5,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_03410579.txt,ok,,4279,382,gpt-4o-mini
T5,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T5/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T5/user_043ea160.txt,ok,,4754,366,gpt-4o-mini
