user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_0bd8ba7c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0bd8ba7c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0bd8ba7c.txt,skipped_existing,,19888,19888,0,369,gpt-4o-mini
user_0c578ab5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0c578ab5.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0c578ab5.txt,skipped_existing,,7495,7495,0,368,gpt-4o-mini
user_0c8c48ac,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0c8c48ac.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0c8c48ac.txt,skipped_existing,,4779,4779,0,353,gpt-4o-mini
user_0cc626ee,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0cc626ee.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0cc626ee.txt,skipped_existing,,10842,10842,0,393,gpt-4o-mini
user_0cd29f02,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0cd29f02.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0cd29f02.txt,skipped_existing,,56500,25000,1,354,gpt-4o-mini
user_0cee87f3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0cee87f3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0cee87f3.txt,skipped_existing,,16160,16160,0,355,gpt-4o-mini
user_0d32f0ed,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0d32f0ed.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0d32f0ed.txt,skipped_existing,,19055,19055,0,372,gpt-4o-mini
user_0dfb7397,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0dfb7397.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0dfb7397.txt,skipped_existing,,6995,6995,0,353,gpt-4o-mini
user_0e408c4a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0e408c4a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0e408c4a.txt,skipped_existing,,26599,25000,1,389,gpt-4o-mini
user_0e685b64,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0e685b64.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0e685b64.txt,skipped_existing,,23470,23470,0,386,gpt-4o-mini
user_0e82fe11,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0e82fe11.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0e82fe11.txt,skipped_existing,,21644,21644,0,385,gpt-4o-mini
user_0eb2abf1,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0eb2abf1.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0eb2abf1.txt,skipped_existing,,15102,15102,0,353,gpt-4o-mini
user_0eeab432,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0eeab432.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0eeab432.txt,skipped_existing,,62838,25000,1,382,gpt-4o-mini
user_0ef44f54,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0ef44f54.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0ef44f54.txt,skipped_existing,,16177,16177,0,387,gpt-4o-mini
user_0f006eec,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0f006eec.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0f006eec.txt,skipped_existing,,10512,10512,0,342,gpt-4o-mini
user_0f0ad720,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0f0ad720.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0f0ad720.txt,skipped_existing,,8552,8552,0,412,gpt-4o-mini
user_0fefc28e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0fefc28e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0fefc28e.txt,skipped_existing,,5032,5032,0,322,gpt-4o-mini
user_0ff0b922,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_0ff0b922.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_0ff0b922.txt,skipped_existing,,27119,25000,1,410,gpt-4o-mini
user_1022be44,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1022be44.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1022be44.txt,skipped_existing,,34561,25000,1,378,gpt-4o-mini
user_107259c3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_107259c3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_107259c3.txt,skipped_existing,,22279,22279,0,347,gpt-4o-mini
user_10e64e28,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_10e64e28.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_10e64e28.txt,skipped_existing,,7188,7188,0,350,gpt-4o-mini
